sl no,work,status,year,garam,work type,Total
1,Maintanance 3 year older plantation,Completed,2012-2013,Gram Panchayat,Drought Proofing,0.7998
,(1504009/DP/17163601502193274),,,,,
2,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಕುರುಬರ ಸ್ಮಶಾನದಲ್ಲಿ ಚಿತಾಗಾರ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0.43575
,(1504009014/AV/93393042892210857),,,,,
3,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಗೋದಾಮ ನಿರ್ಮಾಣ,Suspended,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892210858),,,,,
4,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಅಪ್ಪಾಸಾಬ ಜಂಬಗಿ ಇವರ ಜಮೀನದಲ್ಲಿ ನೀರಿನ ತೋಟ್ಟಿ ನಿರ್ಮಾಣ,Suspended,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892212805),,,,,
5,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ರಜಾಕ ಜಂಗ್ಲಿಸಾಬ ಮಕಾನದಾರ ಇವರ ಜಮೀನದಲ್ಲಿ ನೀರಿನ ತೋಟ್ಟಿ ನಿರ್ಮಾನ,Suspended,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892212806),,,,,
6,ನರಸಾಪೂರ ಗ್ರಾಮದ ದ್ಯಾಮಣ್ಣ ಯ ಪೂತ್ತೆನ್ನವರ ಇವರ ಜಮೀನದಲ್ಲಿ ನೀರಿನ ತೋಟ್ಟಿ ನಿರ್ಮಾಣ,Suspended,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892212807),,,,,
7,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸವೇಶ್ವರ ನಗರದಲ್ಲಿ ಸಾರ್ವಜನಿಕ ಕಣ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892252517),,,,,
