sl no,work,status,year,garam,work type,Total
1,Maintanance 3 year older plantation,Completed,2012-2013,Gram Panchayat,Drought Proofing,0.7998
,(1504009/DP/17163601502193274),,,,,
2,_______ __________ ______ ___________ _______ _______,On Going,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0.43575
,(1504009014/AV/93393042892210857),,,,,
3,_______ __________ _____ _______,Suspended,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892210858),,,,,
4,________ ______ ________ _____ ___ _________ _____ ______ _______,Suspended,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892212805),,,,,
5,________ ______ ____ _________ _______ ___ _________ _____ ______ _______,Suspended,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892212806),,,,,
6,_______ ______ ________ _ ___________ ___ _________ _____ ______ _______,Suspended,2019-2020,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892212807),,,,,
7,_______ ______ ________ ________ _________ __ _______,Approved,2020-2021,Gram Panchayat,Anganwadi/Other Rural Infrastructure,0
,(1504009014/AV/93393042892252517),,,,,
8,_______ ______ _____ _____ ______ ___ _______ _________ _______.,Completed,2010-2011,Gram Panchayat,Drought Proofing,1.8
,(1504009014/DP/17163601502142552),,,,,
9,_______ ______ _______ ____ _____ ___ ________ ___,Completed,2010-2011,Gram Panchayat,Drought Proofing,0.285
,(1504009014/DP/17163601502146520),,,,,
10,____ ____,Completed,2011-2012,Gram Panchayat,Drought Proofing,0.1575
,(1504009014/DP/17163601502171603),,,,,
11,2010-12_ _____ ________ ____ ________,Completed,2011-2012,Gram Panchayat,Drought Proofing,0.095
,(1504009014/DP/17163601502179006),,,,,
12,Raising of manoos plantation under Baradu Bangara,Completed,2013-2014,Gram Panchayat,Drought Proofing,2.06402
,(1504009014/DP/17163601502217620),,,,,
13,"______ ______ __.__.__. 138,140,216_____ _____ ___",Completed,2013-2014,Gram Panchayat,Drought Proofing,2.22345
,(1504009014/DP/17163601502233176),,,,,
14,Mantenance Of 3 Year Older Block Plantation Dur 14-15,Completed,2014-2015,Gram Panchayat,Drought Proofing,1.0314
,(1504009014/DP/17163601502247633),,,,,
15,____ ____ _______ _______,Completed,2014-2015,Gram Panchayat,Drought Proofing,4.6918
